Ticker,Company,Country,Exchange,MarketCap,CurrentDate,CurrentPrice,Date_1M,Price_1M,Return_1M,Date_3M,Price_3M,Return_3M,Date_6M,Price_6M,Return_6M,Date_1Y,Price_1Y,Return_1Y,Date_2Y,Price_2Y,Return_2Y,Date_5Y,Price_5Y,Return_5Y,Currency,CurrentPriceUSD,Price_1M_USD,Price_3M_USD,Price_6M_USD,Price_1Y_USD,Price_2Y_USD,Price_5Y_USD,Return_1M_USD,Return_3M_USD,Return_6M_USD,Return_1Y_USD,Return_2Y_USD,Return_5Y_USD
034730.KS,SK,US,KSC,28579949707264.0,2026-08-05,562000.0,2026-07-03,690000.0,-18.55072463768116,2026-05-04,475500.0,18.191377497371185,2026-02-05,324859.78125,72.99771545665905,2025-08-05,182660.765625,207.6741729823788,2024-08-05,121180.171875,363.7722420295916,2021-08-05,236209.21875,137.92466821322992,KRW,393.43894680496305,447.4331036908552,323.0891553685069,222.48993281830008,132.01943510287583,89.28886149988739,206.46575315022346,-12.0675373459176,21.774111036384692,76.83449395720355,198.01592962307154,340.63608852875706,90.5589381298984
000810.KS,SamsungF&MIns,US,KSC,28356829511680.0,2026-08-05,637000.0,2026-07-03,638000.0,-0.1567398119122209,2026-05-04,473500.0,34.530095036958805,2026-02-05,482982.65625,31.888793884614785,2025-08-05,416728.5625,52.85729304911755,2024-08-05,299642.59375,112.58659926414416,2021-08-05,167742.421875,279.748898865122,KRW,445.9441443323158,413.7135074706748,321.7302104458213,330.78511081915167,301.1936866914875,220.78484985488285,146.62029556229754,7.790569144983883,38.60810388753091,34.813850365872234,48.058928203596786,101.98131557732574,204.14898743867175
009540.KS,HDKSOE,US,KSC,28038351814656.0,2026-08-05,396000.0,2026-07-03,359500.0,10.152990264255912,2026-05-04,469500.0,-15.65495207667732,2026-02-05,401038.71875,-1.2564170276888054,2025-08-05,349560.625,13.28507036511908,2024-08-05,164091.265625,141.32911553317174,2021-08-05,123448.2890625,220.78208860352143,KRW,277.22744294442236,233.1191315606702,319.01232060045004,274.66335552186683,252.64755728359887,120.9069277839053,107.90368009883423,18.92093158054373,-13.098201842919266,0.9335382281643323,9.72892274324757,129.28995718087043,156.92121222417646
042660.KS,Hanwha Ocean,US,KSC,27664108748800.0,2026-08-05,91900.0,2026-07-03,106900.0,-14.031805425631427,2026-05-04,133000.0,-30.902255639097746,2026-02-05,135600.0,-32.227138643067846,2025-08-05,116100.0,-20.844099913867357,2024-08-05,26950.0,241.0018552875696,2021-08-05,28115.578125,226.86505534909747,KRW,64.3363687035162,69.3197083834093,90.36983735859394,92.869713739492,83.91214371076785,19.857496322947554,24.575264435279678,-7.188921875334664,-28.80769670058726,-30.724058346959517,-23.3288939378385,223.9903342153378,161.79318994898142
267260.KS,HD HYUNDAI ELECTRIC,US,KSC,27390447190016.0,2026-08-05,772000.0,2026-07-03,945000.0,-18.306878306878303,2026-05-04,1297760.125,-40.51288946792074,2026-02-05,867908.25,-11.050505626602812,2025-08-05,501060.46875,54.07322032925792,2024-08-05,258086.421875,199.1246088776828,2021-08-05,20474.421875,3670.558234626588,KRW,540.4534998815507,612.7888159244321,881.7922663663048,594.4129109855712,362.1452029417287,190.16512702729142,17.896282605343004,-11.804281371186399,-38.709657535481135,-9.077765658648417,49.2366861389885,184.20221327119975,2919.9204594600906
285A.T,KIOXIA HOLDINGS CORPORATION,US,JPX,26842245365760.0,2026-08-05,54300.0,2026-07-03,83300.0,-34.813925570228086,2026-05-01,36410.0,49.13485306234551,2026-02-05,19530.0,178.0337941628264,2025-08-05,2370.0,2191.1392405063293,,,,,,,JPY,344.34212115593255,515.9523755311966,231.94333369378,124.46069494821131,16.14518426824361,,,-33.26087106364874,48.4595895351515,176.66736177169423,2032.7853274070594,,
298040.KS,HYOSUNG HEAVY,US,KSC,26743320608768.0,2026-08-05,2985000.0,2026-07-03,3323000.0,-10.171531748420104,2026-05-04,4228000.0,-29.39924314096499,2026-02-05,2334000.0,27.892030848329053,2025-08-05,1276527.625,133.8374776652405,2024-08-05,247703.1875,1105.0712912202634,2021-08-05,72688.671875,4006.554601978687,KRW,2089.7068615886383,2154.81188922422,2872.8095665574074,1598.5096745425835,922.6198925044373,182.5144762509699,63.53571407407799,-3.021378708793976,-27.25912340605262,30.728446306501823,126.49705242276555,1044.9540357090077,3189.027111825946
8035.T,TOKYO ELECTRON,US,JPX,25187676323840.0,2026-08-05,58550.0,2026-07-03,73200.0,-20.013661202185794,2026-05-01,47450.0,23.39304531085353,2026-02-05,39619.515625,47.78070624128181,2025-08-05,21966.859375,166.53787416982544,2024-08-05,21096.708984375,177.53143887686127,2021-08-05,13999.810546875,318.2199452196828,JPY,371.2933921488002,453.3939242362976,302.27166118565947,252.48706852017494,149.6451444742488,144.91090505119246,127.81829828471928,-18.107991240903498,22.834337394515657,47.054419192613835,148.11589674577982,156.22184335791286,190.48531949762975
6501.T,HITACHI,US,JPX,24960244383744.0,2026-08-05,5476.0,2026-07-03,4615.0,18.65655471289273,2026-05-01,4795.0,14.202294056308665,2026-02-05,5134.43505859375,6.652434737382773,2025-08-05,4078.423828125,34.26755606509677,2024-08-05,2635.260986328125,107.7972553158788,2021-08-05,1125.8046875,386.40763898045145,JPY,34.725919989869,28.584876507520676,30.545682094525546,32.720704329699856,27.783503894123896,18.101309301737047,10.278599047851458,21.48354036349471,13.685200685345444,6.128277802226445,24.987547007033186,91.84203424741553,237.84681967069997
010130.KS,KOREA ZINC,US,KSC,24920528519168.0,2026-08-05,1095000.0,2026-07-03,1115000.0,-1.7937219730941756,2026-05-04,1623072.125,-32.53534558730715,2026-02-05,1702781.0,-35.693433271806526,2025-08-05,748418.75,46.30846701796288,2024-08-05,443071.40625,147.13849383053028,2021-08-05,451868.59375,142.32708693311352,KRW,766.5758838993497,723.0259574134834,1102.8328117106576,1166.2004722053534,540.9252515575645,326.4671176405409,394.9692989428513,6.023286721497478,-30.490290481086014,-34.26722916260617,41.715677294050636,134.80952367870444,94.0849291200901
